run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
wide_7ch_run1,7,1,wide,42,v3_architecture-size_wide,wall1,0.9120088084873488,0.774891084746647,0.4974892198843792,0.7281297043727916,0.9539797143600692,0.8731702935532601,0.6644311201422742,0.8305270426852013
wide_7ch_run1,7,1,wide,42,v3_architecture-size_wide,wall2,0.9682329865613344,,0.0,0.4841164932806672,0.983860135636602,,0.0,0.491930067818301
wide_7ch_run1,7,1,wide,42,v3_architecture-size_wide,wall3,,0.8596935528385427,0.3280635723368518,0.5938785625876972,,0.9245539960348302,0.4940479946447041,0.7093009953397672
wide_7ch_run1,7,1,wide,42,v3_architecture-size_wide,wall4,0.9439700574973572,0.1908271972735036,0.0536005292285848,0.3961325946664819,0.9711775691778016,0.3204951947863101,0.1017473468200125,0.4644733702613747
wide_7ch_run1,7,1,wide,42,v3_architecture-size_wide,AllWalls,0.94140395084868,0.6084706116195645,0.2197883303624539,0.5898876309435662,,,,0.6240578690261611
wide_7ch_run2,7,2,wide,42,v3_architecture-size_wide,wall1,0.9130307051826174,0.7814544608459133,0.5844653282073188,0.7596501647452832,0.9545384741699268,0.8773218491084461,0.7377445473907456,0.8565349568897062
wide_7ch_run2,7,2,wide,42,v3_architecture-size_wide,wall2,0.9682507098591666,,0.0135134283788295,0.4908820691189981,0.9838692855631664,,0.0266665009075312,0.5052678932353488
wide_7ch_run2,7,2,wide,42,v3_architecture-size_wide,wall3,,0.8586323865391223,0.2811995141208624,0.5699159503299924,,0.9239399816312724,0.4389628797413599,0.6814514306863162
wide_7ch_run2,7,2,wide,42,v3_architecture-size_wide,wall4,0.9219756500302828,0.1141357851412847,0.0820904703968503,0.3727339685228059,0.9594040902815352,0.2048866694050421,0.1517257062004143,0.4386721552956638
wide_7ch_run2,7,2,wide,42,v3_architecture-size_wide,AllWalls,0.9344190216906888,0.5847408775087735,0.2403171852759653,0.5864923614918093,,,,0.6204816090267588
wide_7ch_run3,7,3,wide,42,v3_architecture-size_wide,wall1,0.8875169402198464,0.7528010493510449,0.5822145502658048,0.7408441799455653,0.9404068607897886,0.8589691906331995,0.7359489269871718,0.84510832613672
wide_7ch_run3,7,3,wide,42,v3_architecture-size_wide,wall2,0.9653829322912056,,0.0111953008014087,0.4882891165463072,0.9823866040861368,,0.0221427073336595,0.5022646557098982
wide_7ch_run3,7,3,wide,42,v3_architecture-size_wide,wall3,,0.8907519364858172,0.3377418812047787,0.614246908845298,,0.9422197796516696,0.5049432718673744,0.7235815257595221
wide_7ch_run3,7,3,wide,42,v3_architecture-size_wide,wall4,0.9176983195964816,0.0673877310433069,0.0635181341734728,0.3495347282710871,0.9570830930170308,0.1262666397288257,0.1194490853187695,0.4009329393548753
wide_7ch_run3,7,3,wide,42,v3_architecture-size_wide,AllWalls,0.9235327307025112,0.5703135722933897,0.2486674666113662,0.5808379232024223,,,,0.6179718617402539
wide_7ch_run4,7,4,wide,42,v3_architecture-size_wide,wall1,0.8951262913449074,0.7495200568196468,0.5239867144117495,0.7228776875254347,0.9446613615493312,0.8568293388784085,0.6876526015044763,0.8297144339774053
wide_7ch_run4,7,4,wide,42,v3_architecture-size_wide,wall2,0.9650904233701616,,0.0,0.4825452116850808,0.9822351296333895,,0.0,0.4911175648166948
wide_7ch_run4,7,4,wide,42,v3_architecture-size_wide,wall3,,0.8648292472555188,0.3607525479225323,0.6127908975890256,,0.927515748187984,0.5302250559417214,0.7288704020648527
wide_7ch_run4,7,4,wide,42,v3_architecture-size_wide,wall4,0.9415190090119137,0.1123744453443537,0.0440925976996577,0.3659953506853084,0.9698787440572892,0.2020442771131197,0.0844610866829291,0.4187947026177794
wide_7ch_run4,7,4,wide,42,v3_architecture-size_wide,AllWalls,0.9339119079089944,0.5755745831398399,0.2322079650084848,0.5805648186857731,,,,0.6171242758691831
wide_7ch_run5,7,5,wide,42,v3_architecture-size_wide,wall1,0.8841516319308217,0.7411794494683864,0.4489549196706898,0.6914286670232993,0.9385143073912473,0.8513533165058684,0.619694807030609,0.8031874769759083
wide_7ch_run5,7,5,wide,42,v3_architecture-size_wide,wall2,0.9659956256432493,,0.009046849757673668,0.48752123770046146,0.9827037385469132,,0.01793147614473263,0.5003176073458229
wide_7ch_run5,7,5,wide,42,v3_architecture-size_wide,wall3,,0.8593935944098972,0.24904339175021045,0.5542184930800538,,0.9243805044758552,0.3987746036608716,0.6615775540683634
wide_7ch_run5,7,5,wide,42,v3_architecture-size_wide,wall4,0.9337700376716676,0.06138218741181294,0.08921786564505195,0.36145669690951077,0.9657508591827827,0.1156646270114892,0.16382005558128762,0.4150785139251865
wide_7ch_run5,7,5,wide,42,v3_architecture-size_wide,AllWalls,0.9279724317485796,0.5539850770966989,0.19906575670590648,0.5603410885170615,,,,0.5950402880788204
