experiment,run_id,channels,run_number,epoch,loss,val_loss,accuracy,val_accuracy,iou_metric,val_iou_metric
v2_yaw_correction-epsV1,3ch_run1,3,1,1,0.9084705700559065,0.7589711674622127,0.5245363833122687,0.5809978573821312,0.18654938019238945,0.24069213460773295
v2_yaw_correction-epsV1,3ch_run1,3,1,2,0.7436207468844642,0.6996507857527051,0.63047060527624,0.7217821697856105,0.2659240673545295,0.3212944303368853
v2_yaw_correction-epsV1,3ch_run1,3,1,3,0.7090629703742414,0.6297634031091418,0.6810055134091777,0.7589186734931413,0.30170652020915123,0.34612407674181406
v2_yaw_correction-epsV1,3ch_run1,3,1,4,0.6674278127260445,0.6227833458355495,0.7274814593878256,0.76364570440248,0.33215158174773984,0.35691495577339083
v2_yaw_correction-epsV1,3ch_run1,3,1,5,0.6423595995942423,0.5925592226641518,0.7480874303208266,0.7782050554142442,0.3596324879826366,0.38333659073604004
v2_yaw_correction-epsV1,3ch_run1,3,1,6,0.6293331815684138,0.6012876544679914,0.7537878642037834,0.7688431850699491,0.36784980958331787,0.37495791679248214
v2_yaw_correction-epsV1,3ch_run1,3,1,7,0.6165182775209758,0.5977797423090253,0.7621015471780929,0.7716182442598565,0.3823853627259381,0.3696199775606926
v2_yaw_correction-epsV1,3ch_run1,3,1,8,0.6082911422429991,0.6124881335667202,0.7660551219099927,0.7736398563828579,0.3883601553814436,0.3807339716835746
v2_yaw_correction-epsV1,3ch_run1,3,1,9,0.5971665884837631,0.5703615844249725,0.7758441617348325,0.7928940883902617,0.4046990969393974,0.4145727286647473
v2_yaw_correction-epsV1,3ch_run1,3,1,10,0.5942702194875922,0.5645536546196256,0.7775056517481681,0.794539039079533,0.4113677775730447,0.4103535850133215
v2_yaw_correction-epsV1,3ch_run1,3,1,11,0.5835690700318202,0.5640156481947217,0.788241805556888,0.7902720961459847,0.42595587294207243,0.4130104216081755
v2_yaw_correction-epsV1,3ch_run1,3,1,12,0.5773410472002897,0.5514584353991917,0.7937418869633955,0.8127606059229651,0.4344021112711135,0.44820464668529375
v2_yaw_correction-epsV1,3ch_run1,3,1,13,0.5771521130376611,0.578115735735212,0.7953958817080603,0.7860540168229924,0.43523985718750113,0.4009300470352173
v2_yaw_correction-epsV1,3ch_run1,3,1,14,0.5666428784693568,0.5392735792057854,0.8022025284870704,0.8209014537722565,0.44258697743686026,0.4576928290937628
v2_yaw_correction-epsV1,3ch_run1,3,1,15,0.5604259687021744,0.5625051643167224,0.8090978265425042,0.7997463137604469,0.4499257835202138,0.4203553564314331
v2_yaw_correction-epsV1,3ch_run1,3,1,16,0.5610959965828036,0.5275547653436661,0.8081032694803768,0.8277081334313681,0.45057184809112255,0.46666608192026615
v2_yaw_correction-epsV1,3ch_run1,3,1,17,0.5485930440347057,0.515233365552766,0.8204156230622758,0.8408741440883902,0.46466301509103647,0.4848548921362245
v2_yaw_correction-epsV1,3ch_run1,3,1,18,0.5461421769019986,0.5356448484318597,0.8229069931677233,0.8281907902207486,0.4652902534181589,0.46741856900709017
v2_yaw_correction-epsV1,3ch_run1,3,1,19,0.5360026056608878,0.5273732479129519,0.8301398643170173,0.832549232660338,0.4793130374121627,0.4776791858353785
v2_yaw_correction-epsV1,3ch_run1,3,1,20,0.5327537579477326,0.5037068618195397,0.8312886976776597,0.8520659868107285,0.4762686000965027,0.5055784882917058
v2_yaw_correction-epsV1,3ch_run1,3,1,21,0.5219083620497018,0.5031156986951828,0.8426130229709313,0.8510738461516624,0.49134885847838855,0.5037842651227687
v2_yaw_correction-epsV1,3ch_run1,3,1,22,0.5175648183862039,0.49632303629602703,0.8465091405511519,0.8515846252441406,0.5014913198888956,0.49791288906336767
v2_yaw_correction-epsV1,3ch_run1,3,1,23,0.5072113378974031,0.505814403295517,0.8522471710962495,0.8424467219862827,0.5096064607518509,0.48080040214907577
v2_yaw_correction-epsV1,3ch_run1,3,1,24,0.5021844193462498,0.4805459444011961,0.8535965226182277,0.8658234174861464,0.5199031940560229,0.5439532426451998
v2_yaw_correction-epsV1,3ch_run1,3,1,25,0.49504928894279415,0.45181659502642496,0.859355084282166,0.8851226274357286,0.5403889976959596,0.5886005767887192
v2_yaw_correction-epsV1,3ch_run1,3,1,26,0.49341138064368695,0.4487616441079548,0.8597762394839014,0.8882396077000818,0.5496435862300102,0.6129635658913425
v2_yaw_correction-epsV1,3ch_run1,3,1,27,0.4841695075685328,0.4553636631795338,0.8654509468433652,0.8781896369401798,0.5635716288931637,0.5946367873943278
v2_yaw_correction-epsV1,3ch_run1,3,1,28,0.4744483032995019,0.4637778784547533,0.8713034044993577,0.8721747110056323,0.5744792513491842,0.5877378006864872
v2_yaw_correction-epsV1,3ch_run1,3,1,29,0.47560415361538405,0.4712153247424534,0.8696095447875598,0.8715310917344204,0.5771889648138553,0.5813374213342156
v2_yaw_correction-epsV1,3ch_run1,3,1,30,0.46476595017535627,0.4315530721630369,0.875926640065774,0.8935574908589208,0.5861682553880178,0.6259512754955462
v2_yaw_correction-epsV1,3ch_run1,3,1,31,0.46129282397672167,0.4215278540338789,0.8783432764252561,0.8988828614700672,0.5931665053329438,0.642802766125117
v2_yaw_correction-epsV1,3ch_run1,3,1,32,0.45560202692165847,0.4377923607826233,0.8813145054656446,0.8897708981536155,0.6013959741974173,0.6243381882086396
v2_yaw_correction-epsV1,3ch_run1,3,1,33,0.4543417416328241,0.41726059147289823,0.8826047489043969,0.9001890492993732,0.6062625642280933,0.6449567626363465
v2_yaw_correction-epsV1,3ch_run1,3,1,34,0.4483645518949209,0.4305420198610851,0.8848122968545498,0.8929169943166334,0.6115330933816423,0.62693459966353
v2_yaw_correction-epsV1,3ch_run1,3,1,35,0.4468236969522208,0.4101251001868929,0.8860411737672792,0.9060467032499091,0.6151732398497233,0.6599991928253855
v2_yaw_correction-epsV1,3ch_run1,3,1,36,0.441751244393262,0.41139974338667734,0.8888025372573237,0.9066719055175781,0.6197017850623705,0.658917275922639
v2_yaw_correction-epsV1,3ch_run1,3,1,37,0.44018878621503343,0.4244842401572636,0.8887879096487808,0.8932579217955123,0.6219525601279976,0.6293923910707235
v2_yaw_correction-epsV1,3ch_run1,3,1,38,0.4336205691345467,0.4091219816889082,0.8925127741469469,0.9043836016987645,0.6307177439809215,0.6607438915276101
v2_yaw_correction-epsV1,3ch_run1,3,1,39,0.43386413440231447,0.4059232750109264,0.8930984327440548,0.9084977260855741,0.6327068743349846,0.6617325664098773
v2_yaw_correction-epsV1,3ch_run1,3,1,40,0.43309015971569975,0.4190616565091269,0.8933292968813118,0.8967902959779251,0.6324294626805161,0.6384963262826204
v2_yaw_correction-epsV1,3ch_run1,3,1,41,0.42649412155151367,0.39944502285548616,0.8969950020128347,0.9109933897506359,0.638170976591997,0.6696937187973943
v2_yaw_correction-epsV1,3ch_run1,3,1,42,0.42079987333825797,0.41192034099783215,0.8998346950053676,0.900004346980605,0.6452176615149399,0.6496509284313235
v2_yaw_correction-epsV1,3ch_run1,3,1,43,0.4161342409524051,0.3859907111951283,0.901882771252353,0.9175316566644713,0.6509096556119929,0.6854583778019462
v2_yaw_correction-epsV1,3ch_run1,3,1,44,0.4145977659658952,0.38511236224855694,0.9026350910932349,0.9168225487997366,0.6543330850930161,0.6914130723369973
v2_yaw_correction-epsV1,3ch_run1,3,1,45,0.4118897111947871,0.38891795916216715,0.9035465137911681,0.9154605776764626,0.6567664631326829,0.6886831705591508
v2_yaw_correction-epsV1,3ch_run1,3,1,46,0.41040119651920537,0.39013467941965374,0.9045976147656604,0.9141604401344476,0.6633708065237142,0.6823442493166242
v2_yaw_correction-epsV1,3ch_run1,3,1,47,0.40657388252660265,0.384872738804136,0.9063589121711044,0.9164391983387082,0.6646128250285983,0.6907961420448763
v2_yaw_correction-epsV1,3ch_run1,3,1,48,0.40452995255958935,0.3833658695220947,0.9068619314862383,0.9153636311375818,0.6663443587628032,0.6884172612002918
v2_yaw_correction-epsV1,3ch_run1,3,1,49,0.40156458379808535,0.37453666968005045,0.9083269507833203,0.922261313504951,0.6720697798666136,0.7052745129913092
v2_yaw_correction-epsV1,3ch_run1,3,1,50,0.40261178519114976,0.37853681828294483,0.9082409820241051,0.9193163672158885,0.6721854062735542,0.697465004665511
v2_yaw_correction-epsV1,3ch_run1,3,1,51,0.39616084024925863,0.37910625977175577,0.9111711369921774,0.9193205899970476,0.6779616716633404,0.7015125091586795
v2_yaw_correction-epsV1,3ch_run1,3,1,52,0.39987251064008916,0.3784931536231722,0.9093325574494198,0.9180793584779251,0.6763729884881865,0.6959745641797781
v2_yaw_correction-epsV1,3ch_run1,3,1,53,0.39308093869981686,0.37411712535790037,0.9117273095968221,0.9218988108080487,0.6835567969828844,0.7090171477092164
v2_yaw_correction-epsV1,3ch_run1,3,1,54,0.391739028051865,0.3690958448818752,0.9130128961068028,0.9240282280500545,0.683798713363276,0.7117833335484777
v2_yaw_correction-epsV1,3ch_run1,3,1,55,0.38918089842008163,0.37724271203790394,0.9144401313600274,0.920856617772302,0.6870973981178004,0.7056796138307878
v2_yaw_correction-epsV1,3ch_run1,3,1,56,0.38691653643757845,0.36359092593193054,0.9157579179387058,0.9269275044285974,0.689841800069144,0.7217464311314481
v2_yaw_correction-epsV1,3ch_run1,3,1,57,0.385708413833429,0.3752814808062145,0.9157207729651246,0.9210136058718659,0.6911771680759496,0.709167900362185
v2_yaw_correction-epsV1,3ch_run1,3,1,58,0.38388759833722075,0.36619130628449575,0.9162799890433374,0.9251791665720385,0.6916378408916726,0.716863038284438
v2_yaw_correction-epsV1,3ch_run1,3,1,59,0.38094276583884373,0.37708947488239836,0.9178749467125846,0.9198350418445675,0.7000724261488057,0.7063257068927798
v2_yaw_correction-epsV1,3ch_run1,3,1,60,0.3802080287421045,0.35664141178131104,0.9185799733805927,0.9303843298623728,0.703556328950342,0.7297069081770522
v2_yaw_correction-epsV1,3ch_run1,3,1,61,0.3785946199224015,0.3555344832795007,0.9188934491856762,0.9309318719908248,0.704223321304341,0.7317076934767621
v2_yaw_correction-epsV1,3ch_run1,3,1,62,0.37605419410161733,0.3626005394118173,0.9198922391021633,0.9274701140647711,0.705242084277686,0.7217488451195615
v2_yaw_correction-epsV1,3ch_run1,3,1,63,0.3717764236710288,0.35423304992062704,0.9223911439250643,0.9309267265852108,0.7081237612523077,0.7312124017626047
v2_yaw_correction-epsV1,3ch_run1,3,1,64,0.36833899425080985,0.36010225330080303,0.9237352704558032,0.9269006773482922,0.7181604701317539,0.7253087351896933
v2_yaw_correction-epsV1,3ch_run1,3,1,65,0.3691525190822349,0.35606920080525534,0.9229556066913467,0.9313849693120912,0.7172903506593271,0.7341216302343777
v2_yaw_correction-epsV1,3ch_run1,3,1,66,0.36879094819392055,0.3568642884492874,0.9231773068764341,0.9291153308957122,0.7179117802191864,0.7295168241752046
v2_yaw_correction-epsV1,3ch_run1,3,1,67,0.3648191596850876,0.36081006484372274,0.925572291771653,0.9290127776389898,0.7195145641722955,0.7245382629334927
v2_yaw_correction-epsV1,3ch_run1,3,1,68,0.36300183844960426,0.35538269579410553,0.9256567200559125,0.9291567247967387,0.7198134370702357,0.737846412296806
