run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
3ch_run1,3,1,base,42,v2_NO_yaw_correction,wall1,0.8095889085560267,0.6101679903878391,0.4969199698324079,0.6388922895920912,0.8947766033800942,0.7578935788443648,0.6639232288257094,0.7721978036833895
3ch_run1,3,1,base,42,v2_NO_yaw_correction,wall2,0.9309626129516464,,0.0491820131681627,0.4900723130599046,0.9642471653333444,,0.0937530620061819,0.5290001136697632
3ch_run1,3,1,base,42,v2_NO_yaw_correction,wall3,,0.8494658580454247,0.2910898570023228,0.5702778575238738,,0.91860669322457,0.4509211429763391,0.6847639181004546
3ch_run1,3,1,base,42,v2_NO_yaw_correction,wall4,0.6751904278284764,0.0029898937528535,0.0235459497452117,0.2339087571088472,0.8061058809937391,0.0059619618731477,0.0460085836909871,0.2860254755192913
3ch_run1,3,1,base,42,v2_NO_yaw_correction,AllWalls,0.8052473164453833,0.4875412473953724,0.2151844474370263,0.5026576704259273,,,,0.5679968277432247
3ch_run2,3,2,base,42,v2_NO_yaw_correction,wall1,0.8132947422875645,0.5978443932880576,0.4702824616045538,0.627140532393392,0.8970353504268714,0.7483136603280979,0.6397171616824205,0.7616887241457966
3ch_run2,3,2,base,42,v2_NO_yaw_correction,wall2,0.9202683531846116,,0.0,0.4601341765923057,0.9584789039078002,,0.0,0.4792394519539001
3ch_run2,3,2,base,42,v2_NO_yaw_correction,wall3,,0.7691743727930271,0.2215842073665995,0.4953792900798133,,0.8695291822238165,0.3627817157922732,0.6161554490080449
3ch_run2,3,2,base,42,v2_NO_yaw_correction,wall4,0.77133621064339,0.0007277967066545,0.0694130862742044,0.2804923645414163,0.8709088720804989,0.0014545348076662,0.1298152924536151,0.3340595664472601
3ch_run2,3,2,base,42,v2_NO_yaw_correction,AllWalls,0.8349664353718554,0.4559155209292464,0.1903199388113394,0.4937339650374804,,,,0.5477857978887504
