run_id,channels,run_number,experiment,wall,radius_px,BIoU_Ashlar,BIoU_Polygonal,BIoU_Quarry,BIoU_mean_stones
3ch_run1,3,1,v2_yaw_correction-epsV1,wall1,5,0.25138100080008846,0.12867076961247148,0.17770416930451297,0.18591864657235765
3ch_run1,3,1,v2_yaw_correction-epsV1,wall1,15,0.474721297627742,0.2979786814813391,0.4087719097393156,0.3938239629494656
3ch_run2,3,2,v2_yaw_correction-epsV1,wall1,5,0.2728971603166038,0.13549109909926768,0.1653440504978259,0.19124410330456584
3ch_run2,3,2,v2_yaw_correction-epsV1,wall1,15,0.5125109608776757,0.30952862812040793,0.38129637536494454,0.4011119881210094
3ch_run3,3,3,v2_yaw_correction-epsV1,wall1,5,0.2784061570658189,0.15071222154854053,0.17103965726332016,0.20005267862589318
3ch_run3,3,3,v2_yaw_correction-epsV1,wall1,15,0.537987497598534,0.35008575183197094,0.39474920948043285,0.4276074863036459
3ch_run4,3,4,v2_yaw_correction-epsV1,wall1,5,0.2537086120852221,0.1325514329538657,0.19323815987760126,0.19316606830556304
3ch_run4,3,4,v2_yaw_correction-epsV1,wall1,15,0.49046281906769207,0.30717909685510286,0.4430408750233649,0.41356093031538665
3ch_run5,3,5,v2_yaw_correction-epsV1,wall1,5,0.2724262164243279,0.12348424956380039,0.16675001087098318,0.1875534922863705
3ch_run5,3,5,v2_yaw_correction-epsV1,wall1,15,0.5101273298938628,0.30186649073823185,0.38945579179089923,0.400483204140998
4ch_run1,4,1,v2_yaw_correction-epsV1,wall1,5,0.27107504905906077,0.17998961090056279,0.16031687155574395,0.2037938438384558
4ch_run1,4,1,v2_yaw_correction-epsV1,wall1,15,0.48585008820254777,0.37883530152506073,0.2957060210266412,0.3867971369180832
4ch_run2,4,2,v2_yaw_correction-epsV1,wall1,5,0.27535704871114125,0.1879538501234841,0.15115731009796055,0.20482273631086198
4ch_run2,4,2,v2_yaw_correction-epsV1,wall1,15,0.48427557643442415,0.39993779424031217,0.2766525241345385,0.38695529826975833
4ch_run3,4,3,v2_yaw_correction-epsV1,wall1,5,0.27398371728547455,0.18093772164123922,0.1583798550896781,0.20443376467213062
4ch_run3,4,3,v2_yaw_correction-epsV1,wall1,15,0.48832860677170203,0.37028927438742226,0.29693438789306625,0.3851840896840635
4ch_run4,4,4,v2_yaw_correction-epsV1,wall1,5,0.2756037735412039,0.19077410717423882,0.15451147308395405,0.20696311793313227
4ch_run4,4,4,v2_yaw_correction-epsV1,wall1,15,0.4871947940393182,0.39525472009448875,0.2977227244496584,0.3933907461944884
4ch_run5,4,5,v2_yaw_correction-epsV1,wall1,5,0.2707803066740158,0.17714455650705738,0.16742568518671855,0.20511684945593056
4ch_run5,4,5,v2_yaw_correction-epsV1,wall1,15,0.4721982882022459,0.3888947758821659,0.3142607843371622,0.39178461614052473
7ch_run1,7,1,v2_yaw_correction-epsV1,wall1,5,0.3124361756259614,0.1837467159207622,0.21563619975534906,0.23727303043402423
7ch_run1,7,1,v2_yaw_correction-epsV1,wall1,15,0.5667462075134758,0.40658891084624293,0.4481905934143921,0.47384190392470366
7ch_run2,7,2,v2_yaw_correction-epsV1,wall1,5,0.2758841302841303,0.15778806838936218,0.22431865828092243,0.21933028565147164
7ch_run2,7,2,v2_yaw_correction-epsV1,wall1,15,0.5041387543286733,0.34264097050449305,0.4705120973727178,0.4390972740686281
7ch_run3,7,3,v2_yaw_correction-epsV1,wall1,5,0.28702274502946395,0.1621694089580963,0.22584345166373157,0.22501186855043062
7ch_run3,7,3,v2_yaw_correction-epsV1,wall1,15,0.5276235478527929,0.3528646040204337,0.46936610055797784,0.4499514174770682
7ch_run4,7,4,v2_yaw_correction-epsV1,wall1,5,0.28655465212369036,0.1625046137355331,0.22521384136858477,0.2247577024092694
7ch_run4,7,4,v2_yaw_correction-epsV1,wall1,15,0.5197036897407765,0.3553253649226439,0.4652265275896553,0.44675186075102524
7ch_run5,7,5,v2_yaw_correction-epsV1,wall1,5,0.31175519646741107,0.19845636279725035,0.24105848095685564,0.2504233467405057
7ch_run5,7,5,v2_yaw_correction-epsV1,wall1,15,0.5808897344308862,0.43725880823198277,0.5095204361351526,0.5092229929326738
3ch_run1,3,1,v2_yaw_correction-epsV1,wall2,5,0.13402529197465213,,0.0,0.06701264598732606
3ch_run1,3,1,v2_yaw_correction-epsV1,wall2,15,0.35405211491809857,,0.0,0.17702605745904929
3ch_run2,3,2,v2_yaw_correction-epsV1,wall2,5,0.13578436296668342,,0.0,0.06789218148334171
3ch_run2,3,2,v2_yaw_correction-epsV1,wall2,15,0.3653110732589657,,0.0,0.18265553662948286
3ch_run3,3,3,v2_yaw_correction-epsV1,wall2,5,0.1346629458544631,,0.0,0.06733147292723154
3ch_run3,3,3,v2_yaw_correction-epsV1,wall2,15,0.36517881978461647,,0.0,0.18258940989230824
3ch_run4,3,4,v2_yaw_correction-epsV1,wall2,5,0.13363250786701328,,0.0,0.06681625393350664
3ch_run4,3,4,v2_yaw_correction-epsV1,wall2,15,0.3609032263358502,,0.0,0.1804516131679251
3ch_run5,3,5,v2_yaw_correction-epsV1,wall2,5,0.12949658531116578,,0.0,0.06474829265558289
3ch_run5,3,5,v2_yaw_correction-epsV1,wall2,15,0.35270044280039603,,0.0,0.17635022140019802
4ch_run1,4,1,v2_yaw_correction-epsV1,wall2,5,0.1570702918504375,,0.008889645776566757,0.08297996881350213
4ch_run1,4,1,v2_yaw_correction-epsV1,wall2,15,0.3928912450487667,,0.04262221093904262,0.21775672799390466
4ch_run2,4,2,v2_yaw_correction-epsV1,wall2,5,0.16068902010257127,,0.0,0.08034451005128564
4ch_run2,4,2,v2_yaw_correction-epsV1,wall2,15,0.39786606267677893,,0.0,0.19893303133838947
4ch_run3,4,3,v2_yaw_correction-epsV1,wall2,5,0.1604661698713408,,0.019625159454420567,0.09004566466288068
4ch_run3,4,3,v2_yaw_correction-epsV1,wall2,15,0.3848555406649846,,0.05095179974732875,0.2179036702061567
4ch_run4,4,4,v2_yaw_correction-epsV1,wall2,5,0.15885811110368828,,0.012360333393543727,0.085609222248616
