Class,IoU,Precision,Recall,F1-Score,Support
Background,0.3588687713831415,0.47384407579902327,0.5966106397310249,0.5281875320717871,3496235.0
Ashlar,0.9510313498866636,0.9808680639414397,0.9690063871399802,0.9749011464545759,79939535.0
Polygonal,,,,,0.0
Quarry,0.0,0.0,0.0,0.0,155601.0
