run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run1,4,1,base,42,v6_stress_none,wall1,0.8955816680271448,0.7047718266719949,0.2957012124785317,0.6320182357258904,0.9449148861618132,0.8268224704860704,0.4564342606624382,0.7427238724367738,none,none,1.0
4ch_run1,4,1,base,42,v6_stress_none,wall2,0.9505190180805478,,0.0500394236153169,0.5002792208479324,0.9746318895325896,,0.0953096093154859,0.5349707494240378,none,none,1.0
4ch_run1,4,1,base,42,v6_stress_none,wall3,,0.7380645226288802,0.3346213706864165,0.5363429466576484,,0.8492947333307663,0.5014476435579862,0.6753711884443763,none,none,1.0
4ch_run1,4,1,base,42,v6_stress_none,wall4,0.9422940269683736,0.2491325868188646,0.0835985476713434,0.4250083871528605,0.9702897850529372,0.3988889401297655,0.1542980061222801,0.507825577101661,none,none,1.0
4ch_run1,4,1,base,42,v6_stress_none,AllWalls,0.9294649043586888,0.5639896453732466,0.1909901386129021,0.5614815627816125,,,,0.6152228468517122,none,none,1.0
4ch_run2,4,2,base,42,v6_stress_none,wall1,0.8981099589440742,0.6936738900328709,0.280297334167766,0.624027061048237,0.9463202642313684,0.8191351288050004,0.4378628724552772,0.7344394218305488,none,none,1.0
4ch_run2,4,2,base,42,v6_stress_none,wall2,0.9511051975499338,,0.0,0.4755525987749669,0.9749399455695854,,0.0,0.4874699727847927,none,none,1.0
4ch_run2,4,2,base,42,v6_stress_none,wall3,,0.7362347999810851,0.2650377268470251,0.5006362634140551,,0.848082068150121,0.4190194825376538,0.6335507753438874,none,none,1.0
4ch_run2,4,2,base,42,v6_stress_none,wall4,0.94197598278038,0.193627383540159,0.0619614157497689,0.3991882606901027,0.9701211458153332,0.3244352236053481,0.1166924048855819,0.4704162581020878,none,none,1.0
4ch_run2,4,2,base,42,v6_stress_none,AllWalls,0.930397046424796,0.541178691184705,0.15182411919114,0.5411332856002137,,,,0.5814691070153292,none,none,1.0
4ch_run3,4,3,base,42,v6_stress_none,wall1,0.9010351693167624,0.6867445778058539,0.2979824085321204,0.6285873852182455,0.9479416097710566,0.8142840200490615,0.4591470679007224,0.7404575659069469,none,none,1.0
4ch_run3,4,3,base,42,v6_stress_none,wall2,0.9380585015225364,,0.0629251958363005,0.5004918486794185,0.9680394072579324,,0.1184000456152354,0.5432197264365839,none,none,1.0
4ch_run3,4,3,base,42,v6_stress_none,wall3,,0.8347159154036105,0.1777255243382882,0.5062207198709494,,0.9099129825992548,0.301811450402494,0.6058622165008744,none,none,1.0
4ch_run3,4,3,base,42,v6_stress_none,wall4,0.9390094239548656,0.2507540075740094,0.067533208800332,0.4190988801097357,0.968545497875541,0.4009645478736103,0.1265219821615184,0.4986773426368899,none,none,1.0
4ch_run3,4,3,base,42,v6_stress_none,AllWalls,0.926034364931388,0.5907381669278245,0.1515415843767603,0.556104705411991,,,,0.5970542128703237,none,none,1.0
4ch_run4,4,4,base,42,v6_stress_none,wall1,0.8965555087472505,0.6850786420146338,0.2875344534442884,0.6230562014020576,0.9454566498182388,0.8131117740541445,0.446643509500043,0.7350706444574754,none,none,1.0
4ch_run4,4,4,base,42,v6_stress_none,wall2,0.9412661464892632,,0.0446923765033296,0.4929792614962964,0.969744564073836,,0.085560835914049,0.5276526999939426,none,none,1.0
4ch_run4,4,4,base,42,v6_stress_none,wall3,,0.7646139242162967,0.2619452682909077,0.5132795962536022,,0.8666076060301726,0.415145212510949,0.6408764092705608,none,none,1.0
4ch_run4,4,4,base,42,v6_stress_none,wall4,0.9303836235192576,0.0601714197501862,0.0720701388676006,0.3542083940456815,0.963936506903314,0.1135126237686444,0.1344504174768386,0.403966516049599,none,none,1.0
4ch_run4,4,4,base,42,v6_stress_none,AllWalls,0.9227350929185903,0.5032879953270388,0.1665605592765316,0.5308612158407203,,,,0.5768915674428944,none,none,1.0
