run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
4ch_run5,4,5,base,42,v6_stress_gamma125,wall1,0.8773496730456822,0.6291840366002285,0.18663295849563083,0.5643888893805138,0.9346683632168863,0.7723916052028179,0.3145588653331139,0.6738729445842727
4ch_run5,4,5,base,42,v6_stress_gamma125,wall2,0.9515632859791878,,0.07437312887239546,0.5129682074257916,0.9751805568547016,,0.13844934664450054,0.556814951749601
4ch_run5,4,5,base,42,v6_stress_gamma125,wall3,,0.7779659757029989,0.24844361676552168,0.5132047962342603,,0.875119081393439,0.3980053459029115,0.6365622136481752
4ch_run5,4,5,base,42,v6_stress_gamma125,wall4,0.9391428268371589,0.31525194290341685,0.054588332323870156,0.4363277006881486,0.968616456549463,0.479378790663481,0.10352538644834118,0.5171735445537617
4ch_run5,4,5,base,42,v6_stress_gamma125,AllWalls,0.9226852619540097,0.5741339850688815,0.14100950911435453,0.5459429187124153,,,,0.5961059136339527
