Class,IoU,Precision,Recall,F1-Score,Support
Background,0.2222553267559354,0.24533089722675366,0.7026407974272297,0.36368068420832694,668851.0
Ashlar,0.7871989412132829,0.9875145789705979,0.7951125170349757,0.8809304023858407,9919298.0
Polygonal,0.6153064784528899,0.6605295825395957,0.8998716254072902,0.7618448717449816,1838370.0
Quarry,0.5404163239815104,0.6642538192905255,0.7435073579242908,0.7016496976410865,165264.0
