Class,IoU,Precision,Recall,F1-Score,Support
Background,0.3812793995408298,0.411125659604631,0.8400522008946569,0.5520670179654835,1193083.0
Ashlar,0.9355372833470224,0.9887415696560085,0.9456105061562969,0.9666951821555688,30351119.0
Polygonal,0.09188622015307023,0.12726488176411443,0.24842267533334392,0.1683073171125629,125846.0
Quarry,0.05444301393261865,0.2026379465768373,0.06928605032201547,0.10326402321083172,61643.0
