run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,source_experiment,n_models,checkpoint_filename
3ch_run1,3,1,base,42,v8_coslr_ens,wall1,0.8711221177107815,0.6017256442111169,0.55399909399999,0.6756156186406295,0.9311226770987594,0.7513467070791381,0.7129979626616096,0.7984891156131692,v8_coslr,5,model.pth
3ch_run1,3,1,base,42,v8_coslr_ens,wall2,0.9469415614799176,,0.0,0.4734707807399587,0.9727478011822032,,0.0,0.4863739005911016,v8_coslr,5,model.pth
3ch_run1,3,1,base,42,v8_coslr_ens,wall3,,0.8484139664315997,0.3020798331997897,0.5752468998156948,,0.9179912961483188,0.4639958710633666,0.6909935836058427,v8_coslr,5,model.pth
3ch_run1,3,1,base,42,v8_coslr_ens,wall4,0.8608805457456269,0.0295787610965274,0.052896725440806,0.3144520107609868,0.9252399867512022,0.0574579861477042,0.1004784688995215,0.3610588139328093,v8_coslr,5,model.pth
3ch_run1,3,1,base,42,v8_coslr_ens,AllWalls,0.8929814083121087,0.4932394572464146,0.2272439131601464,0.5378215929062232,,,,0.5842288534357307,v8_coslr,5,model.pth
4ch_run1,4,1,base,42,v8_coslr_ens,wall1,0.9300881253207556,0.7464523437235263,0.2908208274562772,0.6557870988335197,0.9637778846664704,0.8548213140841295,0.4505982879581758,0.7563991622362586,v8_coslr,5,model.pth
4ch_run1,4,1,base,42,v8_coslr_ens,wall2,0.950440003121799,,0.0347223209504447,0.4925811620361219,0.9745903504855944,,0.0671142783863994,0.5208523144359969,v8_coslr,5,model.pth
4ch_run1,4,1,base,42,v8_coslr_ens,wall3,,0.8338673107314309,0.281624595224118,0.5577459529777745,,0.9094085551902292,0.4394806346157398,0.6744445949029846,v8_coslr,5,model.pth
4ch_run1,4,1,base,42,v8_coslr_ens,wall4,0.947217715294303,0.2509234750680164,0.0617502604554249,0.4199638169392481,0.9728934857714564,0.4011811754581917,0.1163178625997,0.4967975079431161,v8_coslr,5,model.pth
4ch_run1,4,1,base,42,v8_coslr_ens,AllWalls,0.942581947912286,0.6104143765076578,0.1672295010215662,0.5734086084805033,,,,0.612123394879589,v8_coslr,5,model.pth
7ch_run1,7,1,base,42,v8_coslr_ens,wall1,0.8467724364904797,0.6279728541619002,0.5844258309101555,0.6863903738541784,0.9170295373258295,0.7714782867005335,0.737713081305218,0.8087403017771937,v8_coslr,5,model.pth
7ch_run1,7,1,base,42,v8_coslr_ens,wall2,0.9534535639305792,,0.005193225698561829,0.47932339481457054,0.9761722331521596,,0.010332790881977508,0.49325251201706855,v8_coslr,5,model.pth
7ch_run1,7,1,base,42,v8_coslr_ens,wall3,,0.8475974370540346,0.3391215918850438,0.5933595144695392,,0.9175131119531271,0.5064836441143061,0.7119983780337167,v8_coslr,5,model.pth
7ch_run1,7,1,base,42,v8_coslr_ens,wall4,0.9146202899517023,0.09413401018089301,0.07711183362983866,0.36195537792081134,0.9554064529158147,0.17207034843077376,0.14318259482856818,0.4235531320583856,v8_coslr,5,model.pth
7ch_run1,7,1,base,42,v8_coslr_ens,AllWalls,0.9049487634575871,0.5232347671322759,0.2514631205309,0.5598822170402543,,,,0.6093860809715912,v8_coslr,5,model.pth
