run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
7ch_run1,7,1,base,42,v2_yaw_corrected,wall1,0.908470347940957,0.6515891061336349,0.5923325635103927,0.7174640058616616,0.9520403069621731,0.789045052081995,0.7439809711666764,0.7517262812264972
7ch_run1,7,1,base,42,v2_yaw_corrected,wall2,0.9339511322408309,0.0,0.023357807146353403,0.3191029797957281,0.9658477059435108,0.0,0.04564934567995715,0.3907774368796693
7ch_run1,7,1,base,42,v2_yaw_corrected,wall3,0.0,0.8371181457969409,0.2653458762644424,0.36748800735379444,0.0,0.9113383891092094,0.4194044983934309,0.48486522951640537
7ch_run1,7,1,base,42,v2_yaw_corrected,wall4,0.8963745423495605,0.0175699353819353,0.07157856625633599,0.32850768132927727,0.9453560173181559,0.03453312597200622,0.13359462107646045,0.4192021510585177
7ch_run1,7,1,base,42,v2_yaw_corrected,AllWalls,0.6846990056328371,0.3765692968281278,0.2381537032943811,0.4331406685851153,,,,0.5116427746702724
