run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
3ch_frac75_run1,3,1,base,42,v5_fractioning_frac75,wall1,0.8471330296596665,0.5544484961250613,0.5021277406872626,0.6345697554906635,0.9172409523917728,0.713370044111714,0.6685553126893536,0.7663887697309467
3ch_frac75_run1,3,1,base,42,v5_fractioning_frac75,wall2,0.936463810565062,,0.0,0.468231905282531,0.9671895807769328,,0.0,0.4835947903884663
3ch_frac75_run1,3,1,base,42,v5_fractioning_frac75,wall3,,0.8049601212045181,0.2291319123772116,0.5170460167908648,,0.891942278112314,0.3728353483786087,0.6323888132454614
3ch_frac75_run1,3,1,base,42,v5_fractioning_frac75,wall4,0.7777710121677914,0.0141207443057332,0.0826821541710665,0.2915246368815303,0.874995718621137,0.0278482505855853,0.1527357846483956,0.3518599179517059
3ch_frac75_run1,3,1,base,42,v5_fractioning_frac75,AllWalls,0.85378928413084,0.4578431205451042,0.2034854518088852,0.5050392854949431,,,,0.5585580728291452
3ch_frac75_run2,3,2,base,42,v5_fractioning_frac75,wall1,0.8445584201030688,0.5730848903338265,0.4183199129488574,0.6119877411285842,0.9157296520387544,0.728612796239129,0.5898808994074124,0.7447411158950986
3ch_frac75_run2,3,2,base,42,v5_fractioning_frac75,wall2,0.9143668959869184,,0.0,0.4571834479934591,0.955268185950878,,0.0,0.477634092975439
3ch_frac75_run2,3,2,base,42,v5_fractioning_frac75,wall3,,0.8254247843276483,0.2627399793332245,0.5440823818304364,,0.9043646075307056,0.4161426479455595,0.6602536277381326
3ch_frac75_run2,3,2,base,42,v5_fractioning_frac75,wall4,0.7960190106446495,0.0117976080641021,0.0343248406506097,0.2807138197864537,0.8864260410683876,0.0233200947898557,0.0663714904671897,0.3253725421084777
3ch_frac75_run2,3,2,base,42,v5_fractioning_frac75,AllWalls,0.8516481089115455,0.4701024275751923,0.1788461832331729,0.5001989065733036,,,,0.552000344679287
3ch_frac75_run3,3,3,base,42,v5_fractioning_frac75,wall1,0.8032651968964233,0.4902285677839252,0.4517770087412422,0.5817569244738636,0.8909007929381798,0.6579239968710701,0.6223779630357335,0.7237342509483278
3ch_frac75_run3,3,3,base,42,v5_fractioning_frac75,wall2,0.9408760989227324,,0.0,0.4704380494613661,0.9695375191079514,,0.0,0.4847687595539757
3ch_frac75_run3,3,3,base,42,v5_fractioning_frac75,wall3,,0.8192018309627013,0.2552843777758124,0.5372431043692568,,0.9006167617247711,0.4067355290888594,0.6536761454068153
3ch_frac75_run3,3,3,base,42,v5_fractioning_frac75,wall4,0.7650611503283121,0.0145102324183243,0.0456626884169356,0.2750780237211906,0.8668947817315067,0.0286053939224167,0.0873373200033863,0.3276124985524365
3ch_frac75_run3,3,3,base,42,v5_fractioning_frac75,AllWalls,0.8364008153824892,0.4413135437216502,0.1881810187334975,0.4886317926125457,,,,0.5474479136153888
3ch_frac75_run4,3,4,base,42,v5_fractioning_frac75,wall1,0.7746608917108968,0.4865829875823682,0.510033388580625,0.5904257559579633,0.8730241313472228,0.6546327943301689,0.6755259750382571,0.7343943002385496
3ch_frac75_run4,3,4,base,42,v5_fractioning_frac75,wall2,0.9175939186021048,,0.0,0.4587969593010524,0.9570263127148588,,0.0,0.4785131563574294
3ch_frac75_run4,3,4,base,42,v5_fractioning_frac75,wall3,,0.8468463185479869,0.2455061829266376,0.5461762507373122,,0.917072860955521,0.3942271604782525,0.6556500107168868
3ch_frac75_run4,3,4,base,42,v5_fractioning_frac75,wall4,0.6994346963717051,0.0110087264159755,0.0181921593194632,0.2428785273690479,0.8231380680469793,0.0217777080025836,0.0357342357293783,0.2935500039263137
3ch_frac75_run4,3,4,base,42,v5_fractioning_frac75,AllWalls,0.797229835561569,0.4481460108487768,0.1934329327066814,0.4796029263723425,,,,0.5405268678097949
3ch_frac75_run5,3,5,base,42,v5_fractioning_frac75,wall1,0.8273742620537524,0.5241987649453261,0.4292087012785812,0.5935939094258866,0.905533452270343,0.6878351787197905,0.600624248781312,0.7313309599238152
3ch_frac75_run5,3,5,base,42,v5_fractioning_frac75,wall2,0.957884030513576,,0.0,0.478942015256788,0.978489037741742,,0.0,0.4892445188708709
3ch_frac75_run5,3,5,base,42,v5_fractioning_frac75,wall3,,0.8492970875263949,0.2560247040019862,0.5526608957641905,,0.918508003127186,0.4076746312174149,0.6630913171723004
3ch_frac75_run5,3,5,base,42,v5_fractioning_frac75,wall4,0.7401863233189298,0.0119233732064081,0.0422853725317957,0.2647983563523778,0.8506977826457418,0.0235657630253709,0.0811397217042031,0.3184677557917719
3ch_frac75_run5,3,5,base,42,v5_fractioning_frac75,AllWalls,0.841814871962086,0.4618064085593763,0.1818796944530908,0.4951669916581844,,,,0.5505336379396897
4ch_frac75_run1,4,1,base,42,v5_fractioning_frac75,wall1,0.8896504546181576,0.6538056568787419,0.3110459889097863,0.6181673668022286,0.9416031969763736,0.7906680620656256,0.474500500426289,0.7355905864894295
4ch_frac75_run1,4,1,base,42,v5_fractioning_frac75,wall2,0.9418345820666164,,0.0358688406640496,0.488851711365333,0.9700461519891768,,0.069253633772893,0.5196498928810349
4ch_frac75_run1,4,1,base,42,v5_fractioning_frac75,wall3,,0.8637017584850739,0.270282837139479,0.5669922978122764,,0.9268669244451874,0.4255474910581689,0.6762072077516782
4ch_frac75_run1,4,1,base,42,v5_fractioning_frac75,wall4,0.940995261129206,0.3546570091117489,0.0709472030429569,0.455533157761304,0.9696007815926004,0.5236115219221406,0.1324943056788789,0.5419022030645401
4ch_frac75_run1,4,1,base,42,v5_fractioning_frac75,AllWalls,0.9241600992713268,0.6240548081585217,0.172036217439068,0.5734170416229721,,,,0.6183374725466707
4ch_frac75_run2,4,2,base,42,v5_fractioning_frac75,wall1,0.8953282584622907,0.6828432424859391,0.2843871035276876,0.6208528681586392,0.9447738189570228,0.811535174811916,0.4428370586197763,0.7330486841295717
4ch_frac75_run2,4,2,base,42,v5_fractioning_frac75,wall2,0.9302292911113648,,0.0481362394859409,0.4891827652986528,0.9638536679502654,,0.0918511118545989,0.5278523899024321
4ch_frac75_run2,4,2,base,42,v5_fractioning_frac75,wall3,,0.832432163028123,0.1940634613465468,0.513247812187335,,0.9085544118070006,0.3250471480430382,0.6168007799250195
4ch_frac75_run2,4,2,base,42,v5_fractioning_frac75,wall4,0.9340179624570384,0.3769534755237126,0.0676249662253445,0.4595321347353652,0.9658834411966186,0.5475181002471294,0.12668299892693,0.5466948467902261
4ch_frac75_run2,4,2,base,42,v5_fractioning_frac75,AllWalls,0.9198585040102312,0.6307429603459249,0.14855294264638,0.5663848023341788,,,,0.6060991751868123
4ch_frac75_run3,4,3,base,42,v5_fractioning_frac75,wall1,0.9166706680837192,0.6920662599758138,0.2966903018254785,0.6351424099616705,0.9565239175911252,0.8180131905540226,0.4576116616400976,0.7440495899284151
4ch_frac75_run3,4,3,base,42,v5_fractioning_frac75,wall2,0.9485388254275998,,0.0733938670476116,0.5109663462376057,0.9735898644148868,,0.1367510460060344,0.5551704552104606
4ch_frac75_run3,4,3,base,42,v5_fractioning_frac75,wall3,,0.7975689712770893,0.2488493071870355,0.5232091392320624,,0.8873862244189201,0.3985257560778969,0.6429559902484085
4ch_frac75_run3,4,3,base,42,v5_fractioning_frac75,wall4,0.9362205244022892,0.2964216553935957,0.0869613909342889,0.439867856910058,0.967059808119016,0.4572920456247726,0.1600082425366406,0.5281200320934764
4ch_frac75_run3,4,3,base,42,v5_fractioning_frac75,AllWalls,0.9338100059712028,0.595352295548833,0.1764737167486036,0.5685453394228798,,,,0.6175740168701902
4ch_frac75_run4,4,4,base,42,v5_fractioning_frac75,wall1,0.8814292811192278,0.6376127428953046,0.4010616945846073,0.6400345728663799,0.9369783812388438,0.7787100407731357,0.5725111123011836,0.7627331781043877
4ch_frac75_run4,4,4,base,42,v5_fractioning_frac75,wall2,0.9403107840986266,,0.0475181139829133,0.49391444904077,0.969237291061544,,0.0907251404030393,0.5299812157322916
4ch_frac75_run4,4,4,base,42,v5_fractioning_frac75,wall3,,0.8509629275744581,0.2364799639840872,0.5437214457792726,,0.9194813303900996,0.3825051288694081,0.6509932296297538
4ch_frac75_run4,4,4,base,42,v5_fractioning_frac75,wall4,0.9362563720634562,0.2135435388755574,0.0386485827569835,0.3961494978986657,0.9670789318727392,0.3519338730498654,0.0744209030823398,0.4644779026683148
4ch_frac75_run4,4,4,base,42,v5_fractioning_frac75,AllWalls,0.9193321457604368,0.5673730697817734,0.1809270888271478,0.555877434789786,,,,0.6020463815336871
4ch_frac75_run5,4,5,base,42,v5_fractioning_frac75,wall1,0.9371094891303968,0.7431538811455091,0.4329932094080009,0.7044188598946356,0.9675338378018912,0.8526543630871504,0.6043199738355765,0.8081693915748728
4ch_frac75_run5,4,5,base,42,v5_fractioning_frac75,wall2,0.9440938939106468,,0.054846890082622,0.4994703919966345,0.9712431039136208,,0.1039902389593738,0.5376166714364973
