Class,IoU,Precision,Recall,F1-Score,Support
Background,0.27894107988882627,0.4749367127831421,0.4033164246682503,0.4362063026594995,3496235.0
Ashlar,0.6718832896042473,0.9756175432829434,0.6833579529828389,0.8037442491135721,79939535.0
Polygonal,,,,,0.0
Quarry,0.047285446342576164,0.18291272035609937,0.05994820084703826,0.09030097096777316,155601.0
