run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1
3ch_run1,3,1,base,42,v2_yaw_correction-epsV1,wall1,0.7960351353926894,0.538184824898627,0.5180744435987492,0.6174314679633551,0.8864360387010384,0.6997661349754841,0.6825415522714436,0.7562479086493221
3ch_run1,3,1,base,42,v2_yaw_correction-epsV1,wall2,0.9535105691431026,,0.0,0.4767552845715513,0.9762021093762038,,0.0,0.4881010546881019
3ch_run1,3,1,base,42,v2_yaw_correction-epsV1,wall3,,0.8332318111769978,0.2727751106772571,0.5530034609271275,,0.9090304958673332,0.42863049157539,0.6688304937213616
3ch_run1,3,1,base,42,v2_yaw_correction-epsV1,wall4,0.8489326931611968,0.0197551662825241,0.0595664360590398,0.3094180985009203,0.9182948587595596,0.0387449202234312,0.1124354906533124,0.3564917565454344
3ch_run1,3,1,base,42,v2_yaw_correction-epsV1,AllWalls,0.8661594658989963,0.463723934119383,0.2126039975837615,0.5141624658673802,,,,0.5674178034010551
3ch_run2,3,2,base,42,v2_yaw_correction-epsV1,wall1,0.8349482873078021,0.5532509441406911,0.4617626560223025,0.6166539624902653,0.910051027686258,0.7123780561379507,0.6317888257986216,0.7514059698742767
3ch_run2,3,2,base,42,v2_yaw_correction-epsV1,wall2,0.9577322112369848,,0.0,0.4788661056184924,0.978409821057034,,0.0,0.4892049105285169
3ch_run2,3,2,base,42,v2_yaw_correction-epsV1,wall3,,0.8488151248376389,0.2072672557949378,0.5280411903162884,,0.918226071860139,0.3433659859489198,0.6307960289045295
3ch_run2,3,2,base,42,v2_yaw_correction-epsV1,wall4,0.7510644862676501,0.0129799195899125,0.0561363970408113,0.2733936009661246,0.8578376092459338,0.0256272001821462,0.1063052029985897,0.3299233374755566
3ch_run2,3,2,base,42,v2_yaw_correction-epsV1,AllWalls,0.847914994937479,0.4716819961894141,0.1812915772145129,0.5002961894471354,,,,0.55033256169572
3ch_run3,3,3,base,42,v2_yaw_correction-epsV1,wall1,0.8774290925529143,0.606973246501152,0.4784479820403637,0.65428344036481,0.9347134291605044,0.7554242086141874,0.6472300518548801,0.7791225632098572
3ch_run3,3,3,base,42,v2_yaw_correction-epsV1,wall2,0.9606491976210828,,0.0,0.4803245988105414,0.9799297077587042,,0.0,0.4899648538793521
3ch_run3,3,3,base,42,v2_yaw_correction-epsV1,wall3,,0.8412434770424821,0.263692557609222,0.552468017325852,,0.9137775503691004,0.4173365681730397,0.66555705927107
3ch_run3,3,3,base,42,v2_yaw_correction-epsV1,wall4,0.8285870757360045,0.0168232216747118,0.034307635301554,0.2932393109040901,0.9062593591858336,0.0330897668662678,0.0663393252270667,0.3352294837597228
3ch_run3,3,3,base,42,v2_yaw_correction-epsV1,AllWalls,0.8888884553033339,0.4883466484061153,0.1941120437377849,0.5237823824824114,,,,0.5674684900300005
3ch_run4,3,4,base,42,v2_yaw_correction-epsV1,wall1,0.834053388379787,0.5716027151468578,0.5385888363456182,0.6480816466240876,0.9095192033821812,0.7274137536641309,0.7001075578123241,0.7790135049528787
3ch_run4,3,4,base,42,v2_yaw_correction-epsV1,wall2,0.958716547125512,,0.0,0.479358273562756,0.9789232122763892,,0.0,0.4894616061381946
3ch_run4,3,4,base,42,v2_yaw_correction-epsV1,wall3,,0.8282138068333642,0.2950974904733061,0.5616556486533352,,0.9060360486697202,0.455714712821287,0.6808753807455036
3ch_run4,3,4,base,42,v2_yaw_correction-epsV1,wall4,0.7947241917480621,0.0139705247966618,0.047493464202174,0.2853960602489659,0.8856226437489544,0.0275560767399298,0.0906802110471353,0.3346196438453399
3ch_run4,3,4,base,42,v2_yaw_correction-epsV1,AllWalls,0.862498042417787,0.471262348925628,0.2202949477552745,0.5180184463662298,,,,0.5709925339204791
3ch_run5,3,5,base,42,v2_yaw_correction-epsV1,wall1,0.8473358270420492,0.5580173929153215,0.4560026256497596,0.6204519485357102,0.9173598158368442,0.7163172830454401,0.6263761034720149,0.7533510674514331
3ch_run5,3,5,base,42,v2_yaw_correction-epsV1,wall2,0.9568498826544996,,0.0,0.4784249413272498,0.9779491938916814,,0.0,0.4889745969458407
3ch_run5,3,5,base,42,v2_yaw_correction-epsV1,wall3,,0.8449083350302289,0.2455209874213624,0.5452146612257956,,0.9159353004022122,0.3942462469936721,0.6550907736979421
3ch_run5,3,5,base,42,v2_yaw_correction-epsV1,wall4,0.7943630921794324,0.0156777213306745,0.0438245289381977,0.2846217808161015,0.8853983852449834,0.0308714486916865,0.083969149456139,0.3334129944642696
3ch_run5,3,5,base,42,v2_yaw_correction-epsV1,AllWalls,0.8661829339586604,0.4728678164254082,0.1863370355023299,0.5084625952954662,,,,0.5577073581398714
