run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run1,4,1,base,42,v6_stress_bright120,wall1,0.9156074051757742,0.5366309850528526,0.3434548775227379,0.5985644225837882,0.9559447334583246,0.6984513396811337,0.5113009499151191,0.7218990076848592,bright120,bright,1.2
4ch_run1,4,1,base,42,v6_stress_bright120,wall2,0.9579463456061588,,0.0442716086890475,0.501108977147603,0.9785215491281392,,0.0847894519408126,0.5316555005344759,bright120,bright,1.2
4ch_run1,4,1,base,42,v6_stress_bright120,wall3,,0.3955974569730647,0.1893968073024555,0.2924971321377602,,0.566922008916644,0.3184753921309177,0.4426987005237809,bright120,bright,1.2
4ch_run1,4,1,base,42,v6_stress_bright120,wall4,0.9519262221033036,0.0426181198586611,0.0421945719708644,0.3455796379776097,0.9753711091370584,0.0817521181474163,0.0809725421829275,0.379365256489134,bright120,bright,1.2
4ch_run1,4,1,base,42,v6_stress_bright120,AllWalls,0.941826657628412,0.3249488539615261,0.1548294663712763,0.4738683259870715,,,,0.5189046163080624,bright120,bright,1.2
4ch_run2,4,2,base,42,v6_stress_bright120,wall1,0.9034112713358988,0.56641969525254,0.2644670377766746,0.5780993347883712,0.9492549350113332,0.723202979341014,0.4183059421488594,0.6969212855004022,bright120,bright,1.2
4ch_run2,4,2,base,42,v6_stress_bright120,wall2,0.9510313498866636,,0.0,0.4755156749433318,0.974901146454576,,0.0,0.4874505732272879,bright120,bright,1.2
4ch_run2,4,2,base,42,v6_stress_bright120,wall3,,0.4751438092143161,0.2229616203844576,0.3490527147993869,,0.6441999840915645,0.3646257031588057,0.5044128436251851,bright120,bright,1.2
4ch_run2,4,2,base,42,v6_stress_bright120,wall4,0.9492590552143012,0.0,0.0,0.3164196850714337,0.973969111673502,0.0,0.0,0.324656370557834,bright120,bright,1.2
4ch_run2,4,2,base,42,v6_stress_bright120,AllWalls,0.9345672254789544,0.3471878348222854,0.121857164540283,0.467870741613841,,,,0.5033602682276773,bright120,bright,1.2
4ch_run3,4,3,base,42,v6_stress_bright120,wall1,0.911883482109654,0.6098111272895588,0.3829646832980538,0.6348864308990889,0.9539111464088208,0.7576182285636187,0.553831472232206,0.7551202824015485,bright120,bright,1.2
4ch_run3,4,3,base,42,v6_stress_bright120,wall2,0.9398758521947174,,0.085751474767739,0.5128136634812281,0.9690061878252364,,0.1579578324516349,0.5634820101384356,bright120,bright,1.2
4ch_run3,4,3,base,42,v6_stress_bright120,wall3,,0.6169517193880628,0.1167994155905363,0.3668755674892995,,0.7631046888914518,0.209168117318141,0.4861364031047964,bright120,bright,1.2
4ch_run3,4,3,base,42,v6_stress_bright120,wall4,0.9461727336383616,0.1381957358474246,0.0038079547397379,0.3627254747418415,0.9723419892637132,0.2428329882022151,0.0075870184565836,0.4075873319741707,bright120,bright,1.2
4ch_run3,4,3,base,42,v6_stress_bright120,AllWalls,0.9326440226475776,0.4549861941750154,0.1473308820990167,0.5116536996405366,,,,0.5530815069047378,bright120,bright,1.2
