Class,IoU,Precision,Recall,F1-Score,Support
Background,0.469025814040545,0.6829914710374992,0.5995449390558701,0.638553536034187,3496235.0
Ashlar,0.9608524819482775,0.9813062291595238,0.9787679775720487,0.9800354598767033,79939535.0
Polygonal,,,,,0.0
Quarry,0.015870727111931403,0.059221263697831664,0.021220943310132967,0.031245564397846308,155601.0
